year,state,DEMOCRAT_VOTES,LIBERTARIAN_VOTES,OTHER_VOTES,REPUBLICAN_VOTES,Winning_Party
2006,NEW MEXICO,394365,,359,163826,DEMOCRAT
2006,NEW YORK,2698931,20996,767803,1212902,DEMOCRAT
2006,NORTH DAKOTA,150146,,3589,64417,DEMOCRAT
2006,OHIO,2257369,,830,1761037,DEMOCRAT
2006,PENNSYLVANIA,2392984,,3281,1684778,DEMOCRAT
2006,RHODE ISLAND,206043,,,178950,DEMOCRAT
2006,TENNESSEE,879976,,23808,929911,REPUBLICAN
2006,TEXAS,1555202,97672,,2661789,REPUBLICAN
2006,UTAH,177459,4428,33127,356238,REPUBLICAN
2006,VERMONT,,,177495,84924,OTHER
2006,VIRGINIA,1175606,,28562,1166277,DEMOCRAT
2006,WASHINGTON,1184659,29331,37638,832106,DEMOCRAT
2006,WEST VIRGINIA,159154,,,47408,DEMOCRAT
2006,WISCONSIN,1439214,,68784,630299,DEMOCRAT
2006,WYOMING,57671,,3370,135174,REPUBLICAN
2008,ALABAMA,752391,,2417,1305383,REPUBLICAN
2008,ALASKA,151767,2483,15659,147814,DEMOCRAT
2008,ARKANSAS,804678,,207076,,DEMOCRAT
2008,COLORADO,1230994,,109872,990755,DEMOCRAT
2008,DELAWARE,257539,,,140595,DEMOCRAT
2008,GEORGIA,2667316,127923,72,3095130,REPUBLICAN
2008,IDAHO,219903,9958,43175,371744,REPUBLICAN
2008,ILLINOIS,3615844,50224,143195,1520621,DEMOCRAT
2008,IOWA,941665,,1247,560006,DEMOCRAT
2008,KANSAS,441399,25727,16443,727121,REPUBLICAN
2008,KENTUCKY,847005,,,953816,REPUBLICAN
2008,LOUISIANA,988298,18590,22509,867177,DEMOCRAT
2008,MAINE,279510,,620,444300,REPUBLICAN
2008,MASSACHUSETTS,1971974,93713,111264,926044,DEMOCRAT
2008,MICHIGAN,3038386,76347,92817,1641070,DEMOCRAT
2008,MINNESOTA,1212629,13923,448777,1212317,DEMOCRAT
2008,MISSISSIPPI,480915,,560064,1449520,REPUBLICAN
2008,MONTANA,348289,,,129369,DEMOCRAT
2008,NEBRASKA,317456,,19201,455854,REPUBLICAN
2008,NEW HAMPSHIRE,358438,21516,430,314403,DEMOCRAT
2008,NEW JERSEY,1951218,18810,51392,1461025,DEMOCRAT
2008,NEW MEXICO,505128,,,318522,DEMOCRAT
2008,NORTH CAROLINA,2249311,133430,1719,1887510,DEMOCRAT
2008,OKLAHOMA,527736,,55708,763375,REPUBLICAN
2008,OREGON,864392,,97953,805159,DEMOCRAT
2008,RHODE ISLAND,320644,,1994,116174,DEMOCRAT
2008,SOUTH CAROLINA,790621,,4276,1076534,REPUBLICAN
