year,state,DEMOCRAT_VOTES,LIBERTARIAN_VOTES,OTHER_VOTES,REPUBLICAN_VOTES,Winning_Party
2012,MONTANA,201839,14165,116,267928,REPUBLICAN
2012,NEBRASKA,302081,11109,6125,475064,REPUBLICAN
2012,NEVADA,531373,10968,9010,463567,DEMOCRAT
2012,NEW HAMPSHIRE,369561,8212,3281,329918,DEMOCRAT
2012,NEW JERSEY,2122786,21035,16590,1478088,DEMOCRAT
2012,NEW MEXICO,415335,27788,4847,335788,DEMOCRAT
2012,NEW YORK,4324228,47092,522067,2223397,DEMOCRAT
2012,NORTH CAROLINA,2178391,44515,12071,2270395,REPUBLICAN
2012,NORTH DAKOTA,124966,5238,4408,188320,REPUBLICAN
2012,OHIO,2827621,49493,42301,2661407,DEMOCRAT
2012,OKLAHOMA,443547,,,891325,REPUBLICAN
2012,OREGON,970488,24089,40518,754175,DEMOCRAT
2012,PENNSYLVANIA,2990274,49991,21341,2680434,DEMOCRAT
2012,RHODE ISLAND,279677,4388,4780,157204,DEMOCRAT
2012,SOUTH CAROLINA,865941,16321,10211,1071645,REPUBLICAN
2012,SOUTH DAKOTA,145039,5795,2371,210610,REPUBLICAN
2012,TENNESSEE,960709,,35538,1462330,REPUBLICAN
2012,TEXAS,3308124,88580,27304,4569843,REPUBLICAN
2012,UTAH,251813,12572,12455,740600,REPUBLICAN
2012,VERMONT,199239,3487,3866,92698,DEMOCRAT
2012,VIRGINIA,1971820,31216,28931,1822522,DEMOCRAT
2012,WASHINGTON,1755396,42202,37248,1290670,DEMOCRAT
2012,WEST VIRGINIA,238269,6302,8212,417655,REPUBLICAN
2012,WISCONSIN,1620985,,39483,1410966,DEMOCRAT
2012,WYOMING,69286,5326,5127,170962,REPUBLICAN
2016,ALABAMA,729547,44467,31103,1318255,REPUBLICAN
2016,ALASKA,116454,18725,20042,163387,REPUBLICAN
2016,ARIZONA,1161209,106327,53228,1252401,REPUBLICAN
2016,ARKANSAS,380494,29829,35440,684872,REPUBLICAN
2016,CALIFORNIA,8753788,478500,465497,4483810,DEMOCRAT
2016,COLORADO,1338870,144121,94745,1202484,DEMOCRAT
2016,CONNECTICUT,897572,48676,25457,673215,DEMOCRAT
2016,DELAWARE,235603,14757,6103,185127,DEMOCRAT
2016,DISTRICT OF COLUMBIA,282830,4906,12116,12723,DEMOCRAT
2016,FLORIDA,4504975,207043,90135,4617886,REPUBLICAN
2016,GEORGIA,1877963,125306,22359,2089104,REPUBLICAN
2016,HAWAII,266891,15954,25972,128847,DEMOCRAT
2016,IDAHO,189765,28331,63104,409055,REPUBLICAN
2016,ILLINOIS,3090729,209596,90084,2146015,DEMOCRAT
2016,INDIANA,1033126,133993,10553,1557286,REPUBLICAN
2016,IOWA,653669,59186,51742,800983,REPUBLICAN
2016,KANSAS,427005,55406,30973,671018,REPUBLICAN
2016,KENTUCKY,628854,53752,38572,1202971,REPUBLICAN
2016,LOUISIANA,780154,37978,32262,1178638,REPUBLICAN
2016,MAINE,357735,38105,40459,335593,DEMOCRAT
2016,MARYLAND,1678006,79605,80407,943428,DEMOCRAT
2016,MASSACHUSETTS,1995196,138018,154714,1090893,DEMOCRAT
2016,MICHIGAN,2268839,172136,78766,2279543,REPUBLICAN
2016,MINNESOTA,1367705,112972,141156,1322949,DEMOCRAT
2016,MISSISSIPPI,485131,14435,9077,700714,REPUBLICAN
2016,MISSOURI,1071068,97359,45667,1594511,REPUBLICAN
2016,MONTANA,177709,28037,9540,279240,REPUBLICAN
2016,NEBRASKA,284494,38946,24826,495961,REPUBLICAN
2016,NEVADA,539260,37384,36683,512058,DEMOCRAT
2016,NEW HAMPSHIRE,348526,30777,19203,345790,DEMOCRAT
2016,NEW JERSEY,2148278,72477,51358,1601933,DEMOCRAT
2016,NEW MEXICO,385234,74541,18877,319667,DEMOCRAT
2016,NEW YORK,4379789,57442,837711,2527142,DEMOCRAT
2016,NORTH CAROLINA,2189316,130126,59491,2362631,REPUBLICAN
2016,NORTH DAKOTA,93758,21434,12374,216794,REPUBLICAN
2016,OHIO,2394164,,261318,2841005,REPUBLICAN
2016,OKLAHOMA,420375,83481,,949136,REPUBLICAN
2016,OREGON,1002106,94231,122596,782403,DEMOCRAT
2016,PENNSYLVANIA,2926441,146715,71513,2970733,REPUBLICAN
2016,RHODE ISLAND,252525,14746,16330,180543,DEMOCRAT
2016,SOUTH CAROLINA,855373,49204,43061,1155389,REPUBLICAN
2016,SOUTH DAKOTA,117458,20850,4064,227721,REPUBLICAN
2016,TENNESSEE,870695,,114407,1522925,REPUBLICAN
2016,TEXAS,3877868,283492,122819,4685047,REPUBLICAN
2016,UTAH,310674,39608,265824,515211,REPUBLICAN
2016,VERMONT,178573,10078,36447,95369,DEMOCRAT
2016,VIRGINIA,1981473,118274,113562,1769443,DEMOCRAT
2016,WASHINGTON,1742718,160879,191675,1221747,DEMOCRAT
2016,WEST VIRGINIA,188794,23004,11882,489371,REPUBLICAN
2016,WISCONSIN,1382536,106674,81656,1405284,REPUBLICAN
2016,WYOMING,55973,13287,15109,174419,REPUBLICAN
2020,ALABAMA,849624,25176,7312,1441170,REPUBLICAN
2020,ALASKA,153778,8897,6904,189951,REPUBLICAN
2020,ARIZONA,1672143,51465,2032,1661686,DEMOCRAT
2020,ARKANSAS,423932,13133,21357,760647,REPUBLICAN
2020,CALIFORNIA,11110250,187895,196307,6006429,DEMOCRAT
2020,COLORADO,1804352,52460,58561,1364607,DEMOCRAT
2020,CONNECTICUT,1080831,20230,8079,714717,DEMOCRAT
2020,DELAWARE,296268,5000,2475,200603,DEMOCRAT
2020,DISTRICT OF COLUMBIA,317323,2036,6411,18586,DEMOCRAT
2020,FLORIDA,5297045,70324,31356,5668731,REPUBLICAN
2020,GEORGIA,2473633,62229,2244,2461854,DEMOCRAT
2020,HAWAII,366130,5539,11251,196864,DEMOCRAT
2020,IDAHO,287021,16404,10470,554119,REPUBLICAN
2020,ILLINOIS,3471915,66544,48393,2446891,DEMOCRAT
2020,INDIANA,1242416,59232,1951,1729519,REPUBLICAN
2020,IOWA,759061,19637,23760,897672,REPUBLICAN
2020,KANSAS,570323,30574,,771406,REPUBLICAN
2020,KENTUCKY,772474,26234,11414,1326646,REPUBLICAN
2020,LOUISIANA,856034,21645,14607,1255776,REPUBLICAN
2020,MAINE,435072,14152,18344,360737,DEMOCRAT
2020,MARYLAND,1985023,33488,42105,976414,DEMOCRAT
2020,MASSACHUSETTS,2382202,47013,61588,1167202,DEMOCRAT
2020,MICHIGAN,2804040,60381,25029,2649852,DEMOCRAT
2020,MINNESOTA,1717077,34976,41053,1484065,DEMOCRAT
2020,MISSISSIPPI,539398,8026,9571,756764,REPUBLICAN
2020,MISSOURI,1253014,41205,13007,1718736,REPUBLICAN
2020,MONTANA,244786,15252,34,343602,REPUBLICAN
2020,NEBRASKA,374583,20283,4671,556846,REPUBLICAN
2020,NEVADA,703486,14783,17217,669890,DEMOCRAT
2020,NEW HAMPSHIRE,424921,13235,2372,365654,DEMOCRAT
2020,NEW JERSEY,2608335,31677,26067,1883274,DEMOCRAT
2020,NEW MEXICO,501614,12585,7872,401894,DEMOCRAT
2020,NEW YORK,5230985,60234,125718,3244798,DEMOCRAT
2020,NORTH CAROLINA,2684292,48678,33059,2758773,REPUBLICAN
2020,NORTH DAKOTA,114902,9393,1929,235595,REPUBLICAN
2020,OHIO,2679165,67569,20634,3154834,REPUBLICAN
2020,OKLAHOMA,503890,24731,11798,1020280,REPUBLICAN
2020,OREGON,1340383,41582,33908,958448,DEMOCRAT
2020,PENNSYLVANIA,3458229,79380,,3377674,DEMOCRAT
2020,RHODE ISLAND,307486,5053,4529,199922,DEMOCRAT
2020,SOUTH CAROLINA,1091541,27916,9536,1385103,REPUBLICAN
2020,SOUTH DAKOTA,150471,11095,,261043,REPUBLICAN
2020,TENNESSEE,1143711,,57665,1852475,REPUBLICAN
2020,TEXAS,5259126,126243,39340,5890347,REPUBLICAN
2020,UTAH,560282,38447,24420,865140,REPUBLICAN
2020,VERMONT,242820,3608,11836,112704,DEMOCRAT
2020,VIRGINIA,2413568,64761,19765,1962430,DEMOCRAT
2020,WASHINGTON,2369612,80500,52868,1584651,DEMOCRAT
2020,WEST VIRGINIA,235984,10687,2599,545382,REPUBLICAN
2020,WISCONSIN,1630866,,56991,1610184,DEMOCRAT
2020,WYOMING,73491,5768,5685,193559,REPUBLICAN
