YEAR,STATE_NAME,STATE_NUMBER,REGION,DIVISION,TOTAL_POPULATION,RACE_WHITE,RACE_BLACK,RACE_OTHER,AGE_0_TO_19,AGE_20_TO_39,AGE_40_TO_59,AGE_60_TO_79,AGE_80_AND_OVER,ORIGIN_HISPANIC,ORIGIN_NOT_HISPANIC,SEX_FEMALE,SEX_MALE
2002,North Dakota,38,Midwest,West North Central,638168,589576,4955,43637,177804,169042,172335,89025,29962,8999,629169,319017,319151
2002,Ohio,39,Midwest,East North Central,11407889,9740972,1348039,318878,3182127,3063960,3170465,1579608,411729,245320,11162569,5859385,5548504
2002,Oklahoma,40,South,West South Central,3489080,2730507,266755,491818,995124,953178,931712,488143,120923,210446,3278634,1769080,1720000
2002,Oregon,41,West,Pacific,3513424,3191365,62011,260048,949117,968813,1001981,461648,131865,313232,3200192,1771126,1742298
2002,Pennsylvania,42,Northeast,Middle Atlantic,12331031,10645010,1287953,398068,3247389,3176913,3471063,1884429,551237,447621,11883410,6363832,5967199
2002,Rhode Island,44,Northeast,New England ,1065995,949738,64599,51658,284138,295351,294361,144931,47214,101954,964041,553090,512905
2002,South Carolina,45,South,South Atlantic,4107795,2801386,1209656,96753,1145171,1152457,1129181,559671,121315,119542,3988253,2111069,1996726
2002,South Dakota,46,Midwest,West North Central,760020,674297,6076,79647,224075,196711,201395,104265,33574,13805,746215,382328,377692
2002,Tennessee,47,South,East South Central,5795918,4687848,964948,143122,1570856,1643406,1607782,791788,182086,152930,5642988,2971873,2824045
2002,Texas,48,South,West South Central,21690325,18048885,2558084,1083356,6731078,6528883,5537816,2361527,531021,7244849,14445476,10914653,10775672
2002,Utah,49,West,Mountain,2324815,2176691,22021,126103,823859,732319,502474,213998,52165,231111,2093704,1158853,1165962
2002,Vermont,50,Northeast,New England ,615442,595803,3882,15757,165358,156688,188202,83302,21892,6577,608865,312959,302483
2002,Virginia,51,South,South Atlantic,7286873,5387673,1446516,452684,1980961,2116619,2073899,907425,207969,389793,6897080,3713695,3573178
2002,Washington,53,West,Pacific,6052349,5166047,210038,676264,1687895,1729396,1724662,715351,195045,499071,5553278,3036742,3015607
2002,West Virginia,54,South,South Atlantic,1805414,1717331,57975,30108,443378,468763,526248,295800,71225,14038,1791376,923841,881573
2002,Wisconsin,55,Midwest,East North Central,5445162,4911636,323469,210057,1532552,1473271,1513901,716618,208820,223996,5221166,2751697,2693465
2002,Wyoming,56,West,Mountain,500017,473616,4285,22116,141970,129432,148128,65285,15202,34254,465763,247785,252232
2003,Alabama,1,South,East South Central,4503491,3215079,1178398,110014,1242649,1222252,1241099,648827,148664,103472,4400019,2324069,2179422
2003,Alaska,2,West,Pacific,648414,454912,23633,169869,207363,182581,195974,54691,7805,31417,616997,313034,335380
2003,Arizona,4,West,Mountain,5510364,4808335,194179,507850,1606325,1560089,1393871,771646,178433,1480908,4029456,2764077,2746287
2003,Arkansas,5,South,West South Central,2724816,2214256,427838,82722,756927,732147,728191,406806,100745,115624,2609192,1391523,1333293
2003,California,6,West,Pacific,35253159,27053595,2423031,5776533,10407621,10527303,9274013,4009805,1034417,12030015,23223144,17709509,17543650
2003,Colorado,8,West,Mountain,4528732,4080217,183960,264555,1276428,1346368,1295134,495109,115693,842340,3686392,2253214,2275518
2003,Connecticut,9,Northeast,New England ,3484336,2961169,354078,169089,944098,897485,1016750,476900,149103,369302,3115034,1793468,1690868
2003,Delaware,10,South,South Atlantic,818003,614839,166220,36944,222880,224248,226487,117453,26935,47599,770404,420802,397201
2003,District of Columbia,11,South,South Atlantic,568502,203997,335743,28762,132400,196509,148244,71966,19383,47580,520922,300607,267895
2003,Florida,12,South,South Atlantic,17004085,13718024,2645514,640547,4252139,4400814,4618650,2942310,790172,3160322,13843763,8697573,8306512
2003,Georgia,13,South,South Atlantic,8622793,5728088,2536506,358199,2526258,2606364,2328214,956862,205095,560133,8062660,4394952,4227841
2003,Hawaii,15,West,Pacific,1251154,325671,25480,900003,327319,349621,353171,174657,46386,97672,1153482,623753,627401
2003,Idaho,16,West,Mountain,1363380,1298524,7577,57279,424477,369141,358777,167864,43121,120694,1242686,679877,683503
2003,Illinois,17,Midwest,East North Central,12556006,9964017,1902184,689805,3581302,3571416,3388114,1583364,431810,1701923,10854083,6402859,6153147
2003,Indiana,18,Midwest,East North Central,6196638,5487993,542149,166496,1767761,1705976,1695268,816975,210658,266236,5930402,3152366,3044272
2003,Iowa,19,Midwest,West North Central,2941999,2789316,69438,83245,813899,762523,803434,424508,137635,103031,2838968,1493907,1448092
2003,Kansas,20,Midwest,West North Central,2723004,2427496,159824,135684,794276,728679,736909,354081,109059,220354,2502650,1377415,1345589
2003,Kentucky,21,South,East South Central,4117170,3715675,309918,91577,1112867,1149204,1153394,569829,131876,80016,4037154,2102308,2014862
2003,Louisiana,22,South,West South Central,4521042,2904896,1482589,133557,1331577,1255300,1220322,580217,133626,131268,4389774,2327153,2193889
