Year,State,violent_crime_rate
2018,Hawaii,3622
2018,Idaho,4196
2018,Illinois,52343
2018,Indiana,25009
2018,Iowa,8303
2018,Kansas,12861
2018,Kentucky,9719
2018,Louisiana,25314
2018,Maine,1500
2018,Maryland,28330
2018,Massachusetts,23424
2018,Michigan,45176
2018,Minnesota,12403
2018,Mississippi,7929
2018,Missouri,30696
2018,Montana,4040
2018,Nebraska,5583
2018,Nevada,16715
2018,New Hampshire,2404
2018,New Jersey,18536
2018,New Mexico,17637
2018,New York,68512
2018,North Carolina,36980
2018,North Dakota,2154
2018,Ohio,34426
2018,Oklahoma,18701
2018,Oregon,12146
2018,Pennsylvania,39099
2018,Rhode Island,2326
2018,South Carolina,25463
2018,South Dakota,3483
2018,Tennessee,42687
2018,Texas,118197
2018,Utah,7551
2018,Vermont,1155
2018,Virginia,17357
2018,Washington,23719
2018,West Virginia,5411
2018,Wisconsin,17365
2018,Wyoming,1235
2019,Alabama,25046
2019,Alaska,6343
2019,Arizona,33141
2019,Arkansas,17643
2019,California,174331
2019,Colorado,21938
2019,Connecticut,6546
2019,Delaware,4115
2019,District of Columbia,7403
2019,Florida,81270
2019,Georgia,36170
2019,Hawaii,4042
2019,Idaho,4000
2019,Illinois,51561
2019,Indiana,24966
2019,Iowa,8410
2019,Kansas,11968
2019,Kentucky,9701
2019,Louisiana,25537
2019,Maine,1548
2019,Maryland,27456
2019,Massachusetts,22578
2019,Michigan,43686
2019,Minnesota,13332
2019,Mississippi,8272
2019,Missouri,30380
2019,Montana,4328
2019,Nebraska,5821
2019,Nevada,15210
2019,New Hampshire,2074
2019,New Jersey,18375
2019,New Mexico,17450
2019,New York,69764
2019,North Carolina,38995
2019,North Dakota,2169
2019,Ohio,34269
2019,Oklahoma,17086
2019,Oregon,11995
2019,Pennsylvania,39228
2019,Rhode Island,2342
2019,South Carolina,26323
2019,South Dakota,3530
2019,Tennessee,40647
2019,Texas,121474
2019,Utah,7553
2019,Vermont,1262
2019,Virginia,17753
2019,Washington,22377
2019,West Virginia,5674
2019,Wisconsin,17070
2019,Wyoming,1258
